Surface,NbPieces,NbChambres,NbSDB,Prix,Type_Appartement,Type_Maison,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,latitude,longitude
190,7,5,1,380000,0,1,0,0,0,1,0,0,0,48.898918306,2.877889871
67,3,2,1,635000,1,0,0,0,0,1,0,0,0,48.863457789,2.401155799
150,6,4,1,424000,0,1,0,0,0,1,0,0,0,48.958603377,2.96655236
56,2,1,1,299500,1,0,0,0,0,0,1,0,0,48.893736101,2.105052068
80,4,3,1,65000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
80,4,3,1,65000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
48,2,1,1,229000,1,0,0,0,0,0,0,0,1,48.865003641,2.091451233
76,3,2,1,380000,1,0,0,0,0,0,0,0,1,48.868332771,2.749449617
69,3,2,2,375000,1,0,0,0,0,0,0,0,1,48.896168757,2.207090178
105,5,3,1,333500,0,1,0,0,0,0,0,0,1,49.042953885,1.793560905
180,4,2,3,3500000,1,0,0,0,0,0,0,0,1,48.854350603,2.357625608
350,2,4,2,570000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
67,3,2,1,365000,1,0,0,0,0,0,0,0,1,48.792392355,2.35987795
104,10,3,1,250000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
110,8,3,2,279000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
141,8,3,3,349000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
284,10,4,4,780000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
179,6,3,3,565000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
358,8,4,3,635000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
322,10,4,4,690000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
105,5,4,2,326000,0,1,0,0,0,0,0,0,1,49.020680055,2.10161862
285,10,4,2,780000,0,1,0,0,0,0,0,0,1,48.862549876,2.336419316
34,2,1,1,355000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
40,2,1,1,135000,1,0,0,0,0,0,0,0,1,48.953667315,1.671553521
45,2,1,1,525000,1,0,0,0,0,0,0,0,1,48.828424546,2.3622537660000003
58,3,2,1,166000,1,0,0,0,0,0,0,0,1,48.524357339,2.697674267
65,5,2,1,300000,1,0,0,0,0,0,0,0,1,48.735923981,2.166033197
15,4,1,1,129000,1,0,0,0,0,0,0,0,1,48.859054908,2.380025153
74,4,3,1,720000,1,0,0,0,0,0,0,0,1,48.887051437,2.384822082
90,3,1,1,295000,0,1,0,0,0,0,0,0,1,48.832635262,1.665302121
82,4,3,1,275000,1,0,0,0,0,0,0,0,1,48.836247784,2.564607121
120,6,5,1,98000,0,1,0,0,0,0,0,0,1,48.860373457,2.261967959
140,4,3,1,1000000,1,0,0,0,0,0,0,0,1,48.780432581,2.3170591160000003
40,1,1,1,187000,1,0,0,0,0,0,0,0,1,48.908015138,2.546295743
90,5,3,2,159000,0,1,0,0,0,0,0,0,1,48.709852705,3.393426506
93,5,3,2,689000,1,0,0,0,0,0,0,0,1,48.776484949,2.296467846
50,2,1,1,150000,1,0,0,0,0,0,0,0,1,48.677735132,2.421499681
192,8,4,2,495000,0,1,0,0,0,0,0,0,1,48.853595137,1.773896062
138,4,4,4,20000,1,0,0,0,0,0,0,0,1,48.860373457,2.261967959
160,7,3,2,310000,0,1,0,0,0,0,0,0,1,49.03598752,1.676926764
32,2,1,1,27500,1,0,0,0,0,0,0,0,1,48.860373457,2.261967959
89,3,2,1,139000,1,0,0,0,0,0,0,0,1,48.840071988,2.292837347
115,7,3,2,235000,0,1,0,0,0,0,0,0,1,49.001520665,2.289265625
95,5,3,1,220000,0,1,0,0,0,0,0,0,1,48.539635881,2.629511597
93,4,3,1,255000,0,1,0,0,0,0,0,0,1,48.945834186,2.493478267
500,5,4,4,250000,0,1,0,0,0,0,0,0,1,48.84912057,2.332883793
38,38,1,1,240000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
137,5,4,2,849000,1,0,0,0,0,0,0,0,1,48.823147869,2.264806255
54,3,3,1,273000,1,0,0,0,0,0,0,0,1,48.802292474,2.117410101
145,5,3,2,379000,0,1,0,0,0,0,0,0,1,48.735923981,2.166033197
90,3,2,2,95454,1,0,0,0,0,0,0,0,1,48.860373457,2.261967959
44,2,1,1,178000,1,0,0,0,0,0,0,0,1,48.87491844,2.48590027
500,1,1,1,1000000,0,1,0,0,0,0,0,0,1,48.872724688,2.312557715
150,6,3,3,455000,0,1,0,0,0,0,0,0,1,48.724658139,2.4212571670000003
55,3,2,1,225000,1,0,0,0,0,0,0,0,1,48.926070398,2.21192311
33,2,1,1,125000,1,0,0,0,0,0,0,0,1,48.926810989,2.122439577
42,2,1,1,135000,1,0,0,0,0,0,0,0,1,48.941845067,2.617085746
120,5,3,2,359000,0,1,0,0,0,0,0,0,1,48.656609978,2.351201849
140,7,3,1,130000,0,1,0,0,0,0,0,0,1,48.87716521,2.337456318
54,54,2,1,160000,1,0,0,0,0,0,0,0,1,48.920002762,2.535619525
72,72,3,1,155000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
218,8,5,3,443000,0,1,0,0,0,0,0,0,1,48.763240732,3.076987933
61,3,2,1,107000,1,0,0,0,0,0,0,0,1,48.709852705,3.393426506
93,3,2,2,550000,1,0,0,0,0,0,0,0,1,48.87716521,2.337456318
240,8,3,1,198000,0,1,0,0,0,0,0,0,1,48.709852705,3.393426506
40,2,1,1,139000,1,0,0,0,0,0,0,0,1,48.642087338,2.268333554
67,3,2,1,241500,1,0,0,0,0,0,0,0,1,48.730259564,1.759908234
81,4,3,1,219000,1,0,0,0,0,0,0,0,1,48.524357339,2.697674267
44,2,1,1,89000,1,0,0,0,0,0,0,0,1,48.945834186,2.493478267
500,5,2,1,800000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
500,5,2,1,150000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
45,2,1,1,225000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
45,2,1,1,229000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
